Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Friday,31-50,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,2,No priority to pedestrian,Serious Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Moving Backward,Serious Injury,Afternoon
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,2,No priority to pedestrian,Slight Injury,Morning
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Going straight,2,No priority to pedestrian,Slight Injury,Afternoon
Thursday,18-30,Male,Above high school,Employee,1-2yr,Taxi,Governmental, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,3,Getting off the vehicle improperly,Slight Injury,Morning
Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,3,Driving carelessly,Slight Injury,Morning
Thursday,31-50,Male,High school,Employee,Below 1yr,Automobile,Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Going straight,3,No priority to vehicle,Slight Injury,Night
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Serious Injury,Evening
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Saturday,Unknown,Female,Unknown,Employee,Below 1yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,2,Changing lane to the left,Slight Injury,Night
Saturday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,3,Moving Backward,Slight Injury,Morning
Saturday,Over 51,Male,Junior high school,Owner,1-2yr,Taxi,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,2,Turnover,Slight Injury,Morning
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Long lorry,Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,3,No distancing,Slight Injury,Morning
Sunday,Over 51,Male,Elementary school,Owner,5-10yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Morning
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No priority to vehicle,Slight Injury,Morning
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Overtaking,Slight Injury,Evening
Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,2,Other,Slight Injury,Afternoon
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,One way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,3,No priority to pedestrian,Slight Injury,Afternoon
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,3,Changing lane to the left,Slight Injury,Afternoon
Monday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,3,Changing lane to the left,Slight Injury,Morning
Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Serious Injury,Morning
Wednesday,Under 18,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Moving Backward,Serious Injury,Morning
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Friday,31-50,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Owner, Hospital areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,3,Driving carelessly,Slight Injury,Morning
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,2,Driving carelessly,Slight Injury,Morning
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Monday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Saturday,18-30,Female,High school,Owner,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Serious Injury,Evening
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Other,3,No distancing,Serious Injury,Evening
Thursday,Unknown,Female,Junior high school,Employee,5-10yr,Special vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Thursday,18-30,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Monday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,1,1,Moving Backward,2,Changing lane to the left,Serious Injury,Morning
Friday,31-50,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Serious Injury,Morning
Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving to the left,Serious Injury,Night
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving to the left,Serious Injury,Night
Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to pedestrian,Serious Injury,Afternoon
Wednesday,31-50,Male,Elementary school,Owner,Above 10yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Serious Injury,Afternoon
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Serious Injury,Evening
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Bicycle,Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the right,Serious Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,2,Driving carelessly,Serious Injury,Afternoon
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Outside rural areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with roadside objects,4,5,Going straight,3,Moving Backward,Slight Injury,Afternoon
Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,3,Turnover,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,2-5yr,Special vehicle,Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the left,Slight Injury,Night
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Overturning,Slight Injury,Night
Friday,18-30,Male,Elementary school,Employee,Below 1yr,Public (12 seats),Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Night
Friday,Under 18,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Sunday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,3,No distancing,Serious Injury,Night
Sunday,18-30,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,3,Changing lane to the left,Serious Injury,Night
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Afternoon
Saturday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Moving Backward,3,No distancing,Slight Injury,Afternoon
Saturday,Under 18,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,2,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Friday,Under 18,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Night
Friday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Slight Injury,Night
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,3,No distancing,Slight Injury,Evening
Monday,31-50,Female,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,3,Overtaking,Slight Injury,Evening
Saturday,Over 51,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,3,Changing lane to the right,Slight Injury,Evening
Saturday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,3,No priority to pedestrian,Slight Injury,Evening
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Other,3,No priority to vehicle,Slight Injury,Night
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Other,3,Changing lane to the left,Slight Injury,Night
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Monday,Over 51,Male,Elementary school,Owner,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Overtaking,Slight Injury,Afternoon
Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Getting off,2,No distancing,Slight Injury,Afternoon
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the right,Slight Injury,Evening
Saturday,18-30,Male,Junior high school,Owner,Below 1yr,Automobile,Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Tuesday,18-30,Male,High school,Employee,Below 1yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,3,No priority to pedestrian,Slight Injury,Morning
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,3,No distancing,Slight Injury,Afternoon
Wednesday,31-50,Female,Junior high school,Employee,5-10yr,Automobile,Governmental,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Afternoon
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Other,3,No priority to vehicle,Slight Injury,Morning
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Friday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Friday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Afternoon
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Night
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Taxi,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,3,Moving Backward,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,3,Driving carelessly,Slight Injury,Morning
Wednesday,31-50,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Turnover,3,Changing lane to the left,Slight Injury,Morning
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,No priority to vehicle,Serious Injury,Afternoon
Friday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,2,Driving carelessly,Serious Injury,Night
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Night
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the left,Slight Injury,Night
Saturday,18-30,Female,Junior high school,Employee,2-5yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the left,Slight Injury,Night
Tuesday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Serious Injury,Morning
Tuesday,Unknown,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Other,3,Driving carelessly,Serious Injury,Morning
Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,Under 18,Male,Above high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Serious Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Driving to the left,Serious Injury,Morning
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Overtaking,Serious Injury,Night
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Ridden horse,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,3,4,Going straight,3,No priority to pedestrian,Slight Injury,Evening
Saturday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,4,Other,3,Changing lane to the right,Slight Injury,Afternoon
